target,config,type,n_features,features,cv_accuracy,cv_macro_f1
difficult,solo_Soil_Class,marginal-1feat,1,Soil_Class,0.7649402390438247,0.43340857787810383
difficult,solo_Soil_Class_plus_highway,marginal-2feat,2,Soil_Class;Dist_to_Highway_m,0.7569721115537849,0.5974708836133239
difficult,solo_Geology_Class,marginal-1feat,1,Geology_Class,0.7928286852589641,0.613388625592417
difficult,solo_Geology_Class_plus_highway,marginal-2feat,2,Geology_Class;Dist_to_Highway_m,0.7689243027888446,0.5772938443670151
difficult,solo_Coordinate_Precision,marginal-1feat,1,Coordinate_Precision,0.7649402390438247,0.43340857787810383
difficult,solo_Coordinate_Precision_plus_highway,marginal-2feat,2,Coordinate_Precision;Dist_to_Highway_m,0.7051792828685259,0.5379601990049752
difficult,solo_N_Raster_Cells_Imputed,marginal-1feat,1,N_Raster_Cells_Imputed,0.7370517928286853,0.4243119266055046
difficult,solo_N_Raster_Cells_Imputed_plus_highway,marginal-2feat,2,N_Raster_Cells_Imputed;Dist_to_Highway_m,0.7211155378486056,0.5492097701149425
easy,baseline_6feat,baseline,6,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.8207171314741036,0.6980027271998075
easy,LOCO_drop_Dist_to_Highway_m,LOCO,5,Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.8047808764940239,0.6766569392959487
easy,LOCO_drop_Slope_deg,LOCO,5,Dist_to_Highway_m;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.8047808764940239,0.6819087029613345
easy,LOCO_drop_Ruggedness,LOCO,5,Dist_to_Highway_m;Slope_deg;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.7888446215139442,0.6559420664683823
easy,LOCO_drop_Elevation_m,LOCO,5,Dist_to_Highway_m;Slope_deg;Ruggedness;LULC_Friction;Dist_to_Settlement_m,0.7729083665338645,0.6174701211197562
easy,LOCO_drop_LULC_Friction,LOCO,5,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;Dist_to_Settlement_m,0.8247011952191236,0.7021574973031284
easy,LOCO_drop_Dist_to_Settlement_m,LOCO,5,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction,0.8007968127490039,0.6492061717352415
easy,LOCOin_add_Dist_to_Dam_m,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Dist_to_Dam_m,0.8167330677290837,0.7037664203612479
easy,LOCOin_add_Dist_to_River_m,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Dist_to_River_m,0.8286852589641435,0.7114248282131495
easy,LOCOin_add_Soil_Class,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Soil_Class,0.8127490039840638,0.673258551447168
easy,LOCOin_add_Geology_Class,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Geology_Class,0.8366533864541833,0.7294476430843653
easy,LOCOin_add_Coordinate_Precision,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Coordinate_Precision,0.8207171314741036,0.7030522911901569
easy,LOCOin_add_N_Raster_Cells_Imputed,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;N_Raster_Cells_Imputed,0.8326693227091634,0.7205196182396607
easy,solo_Dist_to_Dam_m,marginal-1feat,1,Dist_to_Dam_m,0.701195219123506,0.5662542337734153
easy,solo_Dist_to_Dam_m_plus_highway,marginal-2feat,2,Dist_to_Dam_m;Dist_to_Highway_m,0.7211155378486056,0.5693627450980392
easy,solo_Dist_to_River_m,marginal-1feat,1,Dist_to_River_m,0.6972111553784861,0.4107981220657277
easy,solo_Dist_to_River_m_plus_highway,marginal-2feat,2,Dist_to_River_m;Dist_to_Highway_m,0.6772908366533864,0.4824742268041237
easy,solo_Soil_Class,marginal-1feat,1,Soil_Class,0.7569721115537849,0.4308390022675737
easy,solo_Soil_Class_plus_highway,marginal-2feat,2,Soil_Class;Dist_to_Highway_m,0.7250996015936255,0.5520755204965732
easy,solo_Geology_Class,marginal-1feat,1,Geology_Class,0.7290836653386454,0.4216589861751152
easy,solo_Geology_Class_plus_highway,marginal-2feat,2,Geology_Class;Dist_to_Highway_m,0.6852589641434262,0.4871589292641924
easy,solo_Coordinate_Precision,marginal-1feat,1,Coordinate_Precision,0.7729083665338645,0.43595505617977526
easy,solo_Coordinate_Precision_plus_highway,marginal-2feat,2,Coordinate_Precision;Dist_to_Highway_m,0.6892430278884463,0.4976908866995074
easy,solo_N_Raster_Cells_Imputed,marginal-1feat,1,N_Raster_Cells_Imputed,0.7529880478087649,0.42954545454545456
easy,solo_N_Raster_Cells_Imputed_plus_highway,marginal-2feat,2,N_Raster_Cells_Imputed;Dist_to_Highway_m,0.7051792828685259,0.5308648211759951
