Locality_ID,Geosite_Name,Latitude,Longitude,Region,Dist_to_Highway_m,Slope_deg,Elevation_m,Draft_Accessibility_Class,Expert_Label_Raw,Expert_Reasoning
loc_00221,Upper Trias sic evaporate (gypsum) of Khemisset,33.621944444444445,-6.416666666666667,Rabat-Salé-Kénitra,95.0,5.6,237.0,Easy,,
loc_00222,Visean-Miocene uncon,33.565216666666664,-6.749641666666666,Rabat-Salé-Kénitra,2.0,28.5,370.0,Moderate,,
loc_00087,Addan onion peels,29.213335,-8.203033,Souss-Massa,12192.0,2.0,450.0,Moderate,,
loc_00118,Aigou inlier,29.737174,-8.320678,Souss-Massa,9312.0,22.4,1343.0,Very Difficult,,
loc_00094,Ait Ouabelli chasms,29.213335,-8.203033,Souss-Massa,12192.0,2.0,450.0,Moderate,,
loc_00104,Ait Ouabelli water gap,29.240173,-8.53858,Souss-Massa,719.0,2.0,477.0,Easy,,
loc_00114,Akka Phillyrea,29.646508,-7.756531,Souss-Massa,11575.0,6.8,485.0,Difficult,,
loc_00112,Desert mermaid,29.646508,-7.756531,Souss-Massa,11575.0,6.8,485.0,Difficult,,
loc_00115,Draa double winged eye,29.028776,-8.591492,Souss-Massa,11285.0,11.7,785.0,Difficult,,
loc_00136,Hearts of Tata,29.36722222222222,-8.321944444444444,Souss-Massa,4252.0,8.6,564.0,Difficult,,
loc_00108,Ibn Yaakoub water gap,30.068945,-7.954123,Souss-Massa,3736.0,10.2,1457.0,Difficult,,
loc_00130,Ighir Ighnain gorge,29.227937,-8.924098,Souss-Massa,4425.0,14.4,812.0,Very Difficult,,
loc_00109,Rokan water gap,29.983764,-7.95061,Souss-Massa,274.0,24.3,1321.0,Moderate,,
loc_00101,Sidi Rezzoug water gap,29.748743,-7.659674,Souss-Massa,1024.0,1.0,615.0,Easy,,
loc_00124,Tagmout gorge,29.971009,-8.257101,Souss-Massa,406.0,1.8,1064.0,Easy,,
loc_00120,Tagragra of Akka inlier,29.460147,-8.677734,Souss-Massa,4373.0,12.9,1078.0,Difficult,,
loc_00116,Tagragra of Tata inlier,29.899215,-7.94165,Souss-Massa,6439.0,5.1,1220.0,Difficult,,
loc_00098,Tamzrart Petrified waterfall,29.339495,-8.52788,Souss-Massa,3458.0,29.4,737.0,Very Difficult,,
loc_00128,Tamzrart gorge,29.361629,-8.518739,Souss-Massa,5223.0,35.8,630.0,Very Difficult,,
loc_00119,Tanmrout inlier,29.737174,-8.320678,Souss-Massa,9312.0,22.4,1343.0,Very Difficult,,
loc_00127,Targant gorge,29.481527,-8.375144,Souss-Massa,10480.0,7.8,800.0,Difficult,,
loc_00110,Targant water gap,29.912618,-7.684191,Souss-Massa,5808.0,7.3,1337.0,Difficult,,
loc_00113,Tata oyster,29.646508,-7.756531,Souss-Massa,11575.0,6.8,485.0,Difficult,,
loc_00107,Tizgui Ida Ou Baloul water gap,29.741683,-8.50205,Souss-Massa,387.0,20.7,1009.0,Moderate,,
loc_00122,Tlit gorge,30.278531,-7.062836,Souss-Massa,6832.0,7.8,935.0,Difficult,,
