Locality_ID,Geosite_Name,Region,Latitude_WGS84,Longitude_WGS84
loc_00311,Well-distinguished fault making contact between the Fm m. BIII & the Guettioua Fm,Béni Mellal-Khénifra,32.07277777777778,-6.445277777777778
loc_00312,"Oblique, cross-stratification, bioclasts of brachiopods & lamellibranchs on granary stone",Béni Mellal-Khénifra,32.07277777777778,-6.445277777777778
loc_00313,"Limestone banks rich in fossils of gastropods, lamellibranch, brachio pods, ammonites, & places polypiers in the Ouaouizaght syncline",Béni Mellal-Khénifra,32.07277777777778,-6.445277777777778
loc_00303,The spectacular land scapes overlooking the entire Bine El Ouidane dam are panoramic,Béni Mellal-Khénifra,32.09181944444445,-6.331558333333333
loc_00246,Panoramic view of badlands and cuesta,Béni Mellal-Khénifra,32.09181944444445,-6.331558333333333
loc_00293,Passage of the marine carbonate deposits from FmBIII to the red layers (Middle and Upper Jurassic regression),Béni Mellal-Khénifra,32.106902777777776,-6.447197222222222
loc_00294,Footprints of Theropod & Sauropod dinosaurs ( Saurischia dinosaurs) in silt beds of Bathonian-age (165 Ma),Béni Mellal-Khénifra,32.106902777777776,-6.447197222222222
loc_00295,YellowishTilouguite Fm of Upper Bajocian-Lower Bathonian age,Béni Mellal-Khénifra,32.106902777777776,-6.447197222222222
loc_00292,"Black limestone beds of Fm BII with large ammonites  lamellibranchs, gasteropods, and polypiers",Béni Mellal-Khénifra,32.10691388888889,-6.458327777777778
loc_00290,"Large lamellibranchs, gasteropods, and polypiers  (marl-limestones of Fm BII)",Béni Mellal-Khénifra,32.10691388888889,-6.458327777777778
loc_00289,"Overfold affecting the marl-limestones of Fm
 BII",Béni Mellal-Khénifra,32.10691388888889,-6.458327777777778
loc_00288,"Rhynchonella-type brachiopods and big gasteropds ( marl-limestones of Fm
 BII)",Béni Mellal-Khénifra,32.10691388888889,-6.458327777777778
loc_00241,Dinosaur footprints,Béni Mellal-Khénifra,32.10691388888889,-6.458327777777778
loc_00243,Assif Assemssil Bridge,Béni Mellal-Khénifra,32.10832777777778,-6.472758333333333
loc_00308,"Hotels, chalets and guest houses, coffee shop, and restaurants",Béni Mellal-Khénifra,32.10832777777778,-6.472758333333333
loc_00309,Cavities and caves  on the left bank of the Assif Assemsil,Béni Mellal-Khénifra,32.10832777777778,-6.472758333333333
loc_00240,"Watercourse, river, lake, dam",Béni Mellal-Khénifra,32.10894444444445,-6.4633416666666665
loc_00286,Bine El Ouidane dam anchored in massive oncolithic limestones of the Fm BI,Béni Mellal-Khénifra,32.10894444444445,-6.4633416666666665
loc_00287,"Panoramic view on the Tadla plain and the Afourer
 pumped storage power station (PSPS)",Béni Mellal-Khénifra,32.10894444444445,-6.4633416666666665
loc_00242,Panoramic view of the Ouaouizaght Syncline,Béni Mellal-Khénifra,32.13167777777778,-6.397130555555556
loc_00297,Panoramic view of the Ouaouizaght syncline (Cretaceous formation),Béni Mellal-Khénifra,32.13167777777778,-6.397130555555556
loc_00301,Mio-Pliocene alluvial terraces,Béni Mellal-Khénifra,32.13302222222222,-6.300258333333333
loc_00302,The acted conglomerates deposited by the ancient Oued El Abid River,Béni Mellal-Khénifra,32.13302222222222,-6.300258333333333
loc_00245,Oued el Abid Bridge,Béni Mellal-Khénifra,32.13381666666667,-6.311780555555555
loc_00298,Gypsum of the Iouaridene Fm of Lower Barremian (sabkha environment),Béni Mellal-Khénifra,32.13381666666667,-6.311780555555555
loc_00299,Euphorbia resinifiera (in Arabic Zakoum) couvering  the Iouardene Fm,Béni Mellal-Khénifra,32.13381666666667,-6.311780555555555
loc_00300,The basaltic flow B2  (The Major effusive Upper Barremian event),Béni Mellal-Khénifra,32.13381666666667,-6.311780555555555
loc_00049,Ait Ali Ou Ikkou's diapirsm,Drâa-Tafilalet,32.153,-5.593
loc_00048,Msadrid ridge,Drâa-Tafilalet,32.153,-5.593
loc_00235,Gabbroic intrusion of Taghia-n-Ait Boulmane,Béni Mellal-Khénifra,32.236644444444444,-6.119233333333333
loc_00239,Folded structures Taghia-n-Ait Boulmane,Béni Mellal-Khénifra,32.236644444444444,-6.119233333333333
loc_00234,Karstic landscapes Taghia-n-Ait Boulmane,Béni Mellal-Khénifra,32.236644444444444,-6.119233333333333
loc_00238,Taghia-n-Ait Boulmane gorges,Béni Mellal-Khénifra,32.236644444444444,-6.119233333333333
loc_00248,Moudj Canyon,Béni Mellal-Khénifra,32.280556,-6.2975
loc_00285,"Canyon Moudj, Foum El Ancer",Béni Mellal-Khénifra,32.280556,-6.2975
loc_00069,Panoramic view of the cliff,Marrakech-Safi,32.30027777777777,-9.251111111111111
loc_00058,Sidi Bouzid escarpment,Marrakech-Safi,32.30027777777777,-9.251111111111111
loc_00247,Ain Asserdoune-Tamgnounte,Béni Mellal-Khénifra,32.3241,-6.3375
loc_00280,"Ain Asserdoune,  Béni Mellal city",Béni Mellal-Khénifra,32.3241,-6.3375
loc_00281,"Taghbaloute-n- Ouhlima, El Ksiba city",Béni Mellal-Khénifra,32.55341501,-6.01361989
loc_00249,Taghbaloute- n- Ouhlima,Béni Mellal-Khénifra,32.55341501,-6.01361989
loc_00789,Lac Ajdir,Béni Mellal-Khénifra,32.96297222222223,-5.434805555555556
loc_00797,Ajdir,Béni Mellal-Khénifra,32.96297222222223,-5.434805555555556
loc_00921,Aghbalou Ou Mançour,Fés-Meknés,33.22733055555556,-5.093702777777778
loc_00925,Aguelmam Afiroua,Fés-Meknés,33.22733055555556,-5.093702777777778
loc_00213,Variscan synoro genic Granite of Oulmes,Rabat-Salé-Kénitra,33.441111111111105,-6.0525
loc_00214,Oulmes Granite and metamorphism aureole contact,Rabat-Salé-Kénitra,33.441111111111105,-6.0525
loc_00819,Givetian-Famennian paleolapiaz of Bab Al Ari,Fés-Meknés,33.4605,-5.1865
loc_00817,Emsien crinoids grassland of Bab Al Ari,Fés-Meknés,33.4605,-5.1865
loc_01056,Chaâra,Fés-Meknés,33.97953055555556,-4.226177777777778
loc_01121,Poljé Chaâra,Fés-Meknés,33.97953055555556,-4.226177777777778
loc_01087,Kef Bou Hayati,Fés-Meknés,34.094011111111115,-4.098588888888888
loc_01102,Kef Izoura,Fés-Meknés,34.094011111111115,-4.098588888888888
loc_00989,Cascade Ras El Ma,Fés-Meknés,34.144869444444446,-4.010294444444445
loc_01011,Ras El Ma,Fés-Meknés,34.144869444444446,-4.010294444444445
loc_00196,Jbel Kelti,Tanger-Tétouan-Al Hoceima,35.36118505312328,-5.418168222746441
loc_00185,Chrafate Spring,Tanger-Tétouan-Al Hoceima,35.36118505312328,-5.418168222746441
loc_01227,Diplomatic Forest,Tanger-Al Hoceima,35.6759744,-5.9462552
loc_01226,Cape Spartel Reserve,Tanger-Al Hoceima,35.6759744,-5.9462552
loc_00277,Current patterns and inverted series of the Tizirène nappe at Ksar Sghir,Tanger-Tétouan-Al Hoceima,35.848888888888894,-5.566388888888889
loc_00278,The sandstone-mica flysch of the Oued Ledian coast,Tanger-Tétouan-Al Hoceima,35.848888888888894,-5.566388888888889
loc_00141,Abdessamad cave,Tanger-Tétouan-Al Hoceima,35.896051,-5.390169
loc_00140,Jbel Younech Ruiniform aspects,Tanger-Tétouan-Al Hoceima,35.896051,-5.390169
