Locality ID,Geological Domain,Region,Geosite Name,Geosite Type,Reference,Title,Latitude,Longitude,Accessibility Class,
loc_00098,Tabular Middle Atlas,Souss-Massa,Tamzrart Petrified waterfall,G,,,29.339495,-8.52788,Easy,
loc_00099,Tabular Middle Atlas,Souss-Massa,Foum Zguid water gap,G,,,30.140782,-6.877585,Easy,
loc_00100,Central Hight Atlas,Souss-Massa,Tissint water gap,G,,,29.91642,-7.374716,Easy,
loc_00101,Central Hight Atlas,Souss-Massa,Sidi Rezzoug water gap,"S,St&PL",,,29.748743,-7.659674,Easy,
loc_00102,Central Hight Atlas,Souss-Massa,Tata water gap,"S,St&PL",,,29.705037,-7.986517,Easy,
loc_00103,Central Hight Atlas,Souss-Massa,Akka water gap,S&St,,,29.475754,-8.277655,Easy,
loc_00104,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Ait Ouabelli water gap,S&PL,,,29.240173,-8.53858,Easy,
loc_00105,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Icht water gap,S,,,29.086675,-8.85169,Moderate,
loc_00106,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Fam El Hisn water gap,S&PL,,,29.06027,-8.925848,Moderate,
loc_00107,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Tizgui Ida Ou Baloul water gap,G,,,29.741683,-8.50205,Easy,
loc_00108,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Ibn Yaakoub water gap,S,,,30.068945,-7.954123,Moderate,
loc_00109,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Rokan water gap,S,,,29.983764,-7.95061,Moderate,
loc_00110,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Targant water gap,S,,,29.912618,-7.684191,Easy,
loc_00111,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Alougoum water gap,S,,,30.089514,-6.910584,Moderate,
loc_00112,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Desert mermaid,S,,,29.646508,-7.756531,Moderate,
loc_00113,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Tata oyster,S,,,29.646508,-7.756531,Moderate,
loc_00114,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Akka Phillyrea,PL,,,29.646508,-7.756531,Easy,
loc_00115,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Draa double winged eye,PL,,,29.028776,-8.591492,Easy,
loc_00116,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Tagragra of Tata inlier,S,,,29.899215,-7.94165,Moderate,
loc_00117,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Agouliz inlier,S,,,29.751482,-8.161377,Moderate,
loc_00118,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Aigou inlier,S,,,29.737174,-8.320678,Moderate,
loc_00119,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Tanmrout inlier,S,,,29.737174,-8.320678,Moderate,
loc_00120,The Great Moroccan Atlantic Basin (MAP),Souss-Massa,Tagragra of Akka inlier,S,,,29.460147,-8.677734,Moderate,
loc_00121,Middle Atlas,Souss-Massa,Alougoum gorge,K&S,,,30.308991,-6.837444,Moderate,
loc_00122,Middle Atlas,Souss-Massa,Tlit gorge,K,,,30.278531,-7.062836,Easy,
loc_00123,Middle Atlas,Souss-Massa,Aguinane gorge,K,,,30.195719,-7.540216,Difficult,
loc_00124,Middle Atlas,Souss-Massa,Tagmout gorge,K,,,29.971009,-8.257101,Easy,
loc_00125,Middle Atlas,Souss-Massa,Agouliz gorge,K,,,29.732906,-8.189294,Moderate,
loc_00126,Middle Atlas,Souss-Massa,Aygou gorge,K,,,29.734488,-8.261025,Moderate,
loc_00127,Middle Atlas,Souss-Massa,Targant gorge,K,,,29.481527,-8.375144,Easy,
loc_00128,Middle Atlas,Souss-Massa,Tamzrart gorge,K,,,29.361629,-8.518739,Easy,
loc_00129,Middle Atlas,Souss-Massa,Tadakoust gorge,K,,,29.254602,-8.694864,Moderate,
loc_00130,Anti-Atlas ,Souss-Massa,Ighir Ighnain gorge,G,,,29.227937,-8.924098,Moderate,
loc_00131,Anti-Atlas ,Souss-Massa,Tamanart canyon,G,,,29.167098,-8.958087,Difficult,
loc_00132,Anti-Atlas ,Souss-Massa,Foum Zguid mesa,G,,,29.888118,-6.827353,Easy,
loc_00133,Anti-Atlas ,Souss-Massa,Addana Onion Peels,G,,,29.21444444,-8.233055556,Moderate,
loc_00134,Anti-Atlas ,Souss-Massa,Foum Zguid stream,G,,,30.09611111,-6.8875,Easy,
loc_00135,Anti-Atlas ,Souss-Massa,"Badlands of Akka (glaciofluvial,
 fluviomarine, & stream alluviums)",G,,,29.47055556,-8.293055556,Moderate,
loc_00136,Anti-Atlas ,Souss-Massa,Hearts of Tata,G,,,29.36722222,-8.321944444,Moderate,
loc_00137,Anti-Atlas ,Souss-Massa,Karsts of Imitek,G,,,29.61583333,-8.261111111,Moderate,
loc_00138,Anti-Atlas ,Souss-Massa,ssafen’s Flatiron,G,,,29.84722222,-8.516944444,Moderate,
loc_00139,Anti-Atlas ,Souss-Massa,Pyramids of Tadakoust,G,,,29.32638889,-8.531111111,Moderate,
loc_00140,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Jbel Younech Ruiniform aspects,G,,,35.896051,-5.390169,Moderate,
loc_00141,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Abdessamad cave,G,,,35.896051,-5.390169,Moderate,
loc_00142,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Mujer Muerta,G,,,35.908787,-5.389026,Easy,
loc_00145,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Jbel Chendir,G,,,35.906329,-5.38799,Easy,
loc_00146,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Socio-cultural complex,G,,,35.90611111,-5.388055556,Easy,
loc_00147,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,The travertine terraces of Bel Younech,G,,,35.907023,-5.393334,Easy,
loc_00148,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Low coast of the SBEI of Jbel Moussa and islands,G,,,35.909169,-5.393398,Moderate,
loc_00150,Anti-Atlas ,Laayoune-Sakia El Hamra,Naїla Lagoon,G,,,28.05,-12.1,Moderate,
loc_00152,Anti-Atlas ,Laayoune-Sakia El Hamra,Steady dunes,G,,,28.05,-12.26666667,Difficult,
loc_00153,Anti-Atlas ,Laayoune-Sakia El Hamra,Tinouchad daya,G,,,28.05,-12.11666667,Moderate,
loc_00154,Anti-Atlas ,Laayoune-Sakia El Hamra,Tazgha salt Flats,G,,,27.9,-12.33333333,Easy,
loc_00155,Anti-Atlas ,Laayoune-Sakia El Hamra,Khaoui Naàm Wadi,G,,,27.66666667,-12.21666667,Difficult,
loc_00156,Anti-Atlas ,Laayoune-Sakia El Hamra,Echguiguen Site,G,,,27.98,-12.26666667,Easy,
loc_00158,Anti-Atlas ,Guelmim-Oued Noun,Amtoudi travertines,G,,,29.23935,-9.168466667,Moderate,
loc_00159,Anti-Atlas ,Guelmim-Oued Noun,Amtoudi waterfall and Bougaa source,G,,,29.23933333,-9.168466667,Moderate,
loc_00160,Anti-Atlas ,Guelmim-Oued Noun,Abaynou station,G,,,29.093,-10.019,Easy,
loc_00161,Anti-Atlas ,Guelmim-Oued Noun,Pigeon cave,G,,,29.3,-9.695,Easy,
loc_00162,Anti-Atlas ,Guelmim-Oued Noun,Assaka Basin,G,,,29.11666667,-10.41666667,Moderate,
loc_00163,Anti-Atlas ,Guelmim-Oued Noun,Asrir Oasis,G,,,29.074,-9.432,Easy,
loc_00164,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Ali Thilat Dam,G,,,35.18175836,-5.239428901,Moderate,
loc_00165,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Quarry of blocks,G,,,35.17831677,-5.2264833,Moderate,
loc_00166,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Talâat Adrhosse Klippe,G,,,35.24709269,-5.183919235,Easy,
loc_00168,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Ibouharen Fold,G,,,35.24543329,-5.158185726,Moderate,
loc_00169,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Tirinesse Basin,G,,,35.2830549,-5.130659903,Moderate,
loc_00170,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Koudiat Achacha,G,,,35.27105022,-5.121577461,Moderate,
loc_00171,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,"Dune,beachand cliffs of Kaâ Asrascoast",G,,,35.37465307,-5.024382099,Easy,
loc_00173,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Stehat gneiss,G,,,35.45561402,-5.09630866,Easy,
loc_00176,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,BeniBousera Peridotitic Complex,G,,,35.52732169,-5.194990927,Easy,
loc_00178,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Talambote Thrusting,G,,,35.27923536,-5.217673993,Moderate,
loc_00179,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Akchour landslide,G,,,35.24979615,-5.183912408,Easy,
loc_00180,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Akchour Gorge,G,,,35.28285771,-5.230557221,Moderate,
loc_00181,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Sidi Abdel Hamid,G,,,35.20679103,-5.310092889,Moderate,
loc_00182,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Ras Ma Spring,G,,,35.21833196,-5.318756096,Easy,
loc_00183,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,BabTazaPhtanites,G&H,,,35.27932303,-5.442327294,Easy,
loc_00184,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Bouhala Landslice,S,,,35.31323345,-5.438441306,Moderate,
loc_00185,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Chrafate Spring,G,,,35.36118505,-5.418168223,Easy,
loc_00186,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Chrafate Alluvial Fan,En,,,35.34063536,-5.440158153,Moderate,
loc_00187,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Beni Derkoul Radiolarites,En,,,35.36182118,-5.435482142,Moderate,
loc_00188,Anti-Atlas ,Tanger-Tétouan-Al Hoceima,Jbel Chrafate,G,,,35.36131919,-5.424339138,Moderate,
loc_00189,Rif,Tanger-Tétouan-Al Hoceima,Ametrasse rocks fall,G,,,35.36131919,-5.424328138,Moderate,
loc_00191,Rif,Tanger-Tétouan-Al Hoceima,Kodiat Sbaâ,G&SG,,,35.39526736,-5.439765612,Moderate,
loc_00192,Rif,Tanger-Tétouan-Al Hoceima,Raghdat Southern,"SG,Hi",,,35.29940665,-5.41112039,Moderate,
loc_00193,Rif,Tanger-Tétouan-Al Hoceima,Jbel Bou Sliman,SG,,,35.31806625,-5.372840869,Moderate,
loc_00194,Rif,Tanger-Tétouan-Al Hoceima,Jbel Lakraa,S&SG,,,35.21666667,-5.25,Difficult,
loc_00195,Rif,Tanger-Tétouan-Al Hoceima,Oued Tassikisste Gorge,"S,PL&C",,,35.25584836,-5.048941605,Difficult,
loc_00196,Rif,Tanger-Tétouan-Al Hoceima,Jbel Kelti,G&C,,,35.36118505,-5.418168223,Difficult,
loc_00197,Sahara,Tanger-Tétouan-Al Hoceima,Khzanat Spring,SG,,,35.21636688,-5.051738982,Difficult,
loc_00198,Sahara,Tanger-Tétouan-Al Hoceima,Jbel Tellouja karst,H,,,35.2318186,-5.279753048,Moderate,
loc_00199,Sahara,Tanger-Tétouan-Al Hoceima,Raghdat Arimlal,G,,,35.16939288,-5.084877528,Difficult,
loc_00200,Sahara,Tanger-Tétouan-Al Hoceima,Pont de Dieu and Farda River,G,,,35.28091801,-5.266496643,Moderate,
loc_00201,Sahara,Tanger-Tétouan-Al Hoceima,Oued ElKelaa Gorge and waterfall,H,,,35.31966629,-5.266656014,Difficult,
loc_00202,Sahara,Tanger-Tétouan-Al Hoceima,Tissimlane cherty limestone,M,,,35.2332608,-5.30104774,Moderate,
loc_00203,Sahara,Tanger-Tétouan-Al Hoceima,Jbel Tissouka,H,,,35.25047138,-5.325119158,Moderate,
loc_00204,Sahara,Rabat-Salé-Kénitra,Upper Ordovician Quartzite slump balls,Sp,,,33.59904444,-6.110261111,Easy,
loc_00205,Sahara,Rabat-Salé-Kénitra,Givetian reefal lime stones Stromatoporas,S,,,33.54575278,-6.007341667,Moderate,
loc_00206,Sahara,Rabat-Salé-Kénitra,Givetian reefal lime stones Algal laminitis,H,,,33.55678056,-6.039383333,Moderate,
loc_00207,Sahara,Rabat-Salé-Kénitra,Givetian reefal lime stones Slump balls,H,,,33.54856111,-6.030172222,Moderate,
loc_00208,Rif,Rabat-Salé-Kénitra,Famenno-Tournai sian calcareous (Mid Devonian reef limestones) rocks falls of Tiliouine,H&G,,,33.54583333,-6.0075,Moderate,
loc_00209,Rif,Rabat-Salé-Kénitra,Middle Devonian reefal limestone olistoliths within the Tournisian turbid ites West of Tiliouine,SG,,,33.55333333,-6.070277778,Moderate,
loc_00210,Rif,Rabat-Salé-Kénitra,Tournaisian reefal limestones Olistoliths of Tiddas,PL,,,33.52833333,-6.251666667,Easy,
loc_00211,Rif,Rabat-Salé-Kénitra,Westphalian red conglomerates,PL,,,33.52388889,-6.256388889,Moderate,
loc_00212,Rif,Rabat-Salé-Kénitra,Granite of Zaer,G,,,33.39418611,-6.580788889,Easy,
loc_00213,Rif,Rabat-Salé-Kénitra,Variscan synoro genic Granite of Oulmes,SG,,,33.44111111,-6.0525,Moderate,
loc_00214,Rif,Rabat-Salé-Kénitra,Oulmes Granite and metamorphism aureole contact,,,,33.44111111,-6.0525,Moderate,
loc_00215,Rif,Rabat-Salé-Kénitra,The El Karit mine: fillonien complex with the Tin and tungsten,H,,,33.41805556,-6.1025,Difficult,
loc_00216,Rif,Rabat-Salé-Kénitra,The El Karit mine: giant andalusite,GM,,,33.4225,-6.101944444,Difficult,
loc_00217,Rif,Rabat-Salé-Kénitra,Autunian fluviatile channels volcano-detritic Red serie of Souk Sebt,SG,,,33.64464444,-6.143858333,Easy,
loc_00218,Rif,Rabat-Salé-Kénitra,Autunian Trachy andesite of Tiddas,G,,,33.57888889,-6.270833333,Moderate,
loc_00219,Rif,Rabat-Salé-Kénitra,Permian Rhyolite of Souk Sebt,SG,,,33.64218611,-6.135827778,Easy,
loc_00220,Rif,Rabat-Salé-Kénitra,Triassic Basalts of Jbel Merzaga-Maaziz,S,,,33.68603056,-6.443472222,Moderate,
loc_00221,Rif,Rabat-Salé-Kénitra,Upper Trias sic evaporate (gypsum) of Khemisset,SG,,,33.62194444,-6.416666667,Easy,
loc_00222,Rif,Rabat-Salé-Kénitra,Visean-Miocene uncon,S,,,33.56521667,-6.749641667,Easy,
loc_00223,Rif,Rabat-Salé-Kénitra,Triassic-Miocene uncon of Maaziz,PT,,,33.61027778,-6.405,Easy,
loc_00224,Rif,Rabat-Salé-Kénitra,Quaternary Basal tic flow of El Harcha,PT,,,33.48583333,-6.158333333,Moderate,
loc_00225,Rif,Béni Mellal-Khénifra,Gabroic Intrusion of Idemrane,PT,,,32.20277778,-6.12,Easy,
loc_00226,Rif,Béni Mellal-Khénifra,Sills of Idemrane,G,,,32.275,-6.258888889,Easy,
loc_00227,Rif,Béni Mellal-Khénifra,Folded marly limstones of the Bine El OuidaneII  Fm,PT,,,32.26083333,-6.262777778,Moderate,
loc_00228,Rif,Béni Mellal-Khénifra,Fossil wood of the Azilal Fm,G,,,32.27,-6.263888889,Moderate,
loc_00229,Rif,Béni Mellal-Khénifra,Chaos alteration of gabbros,SG,,,32.26972222,-6.258611111,Moderate,
loc_00230,Rif,Béni Mellal-Khénifra,Red facies of the Guettioua Fm,SG,,,32.21472222,-6.222777778,Moderate,
loc_00231,Rif,Béni Mellal-Khénifra,Dinosaur bone deposi tat Agard-n-Sgat,G,,,32.23861111,-6.228333333,Moderate,
loc_00232,Rif,Béni Mellal-Khénifra,Dinosaur footprints of Ait wissadane,SG,,,32.22777778,-6.248611111,Moderate,
loc_00233,Rif,Béni Mellal-Khénifra,Basaltic flow B1,H,,,32.20722222,-6.256666667,Moderate,
loc_00234,Rif,Béni Mellal-Khénifra,Karstic landscapes Taghia-n-Ait Boulmane,GM,,,32.23664444,-6.119233333,Moderate,
