Locality_ID,Geosite_Name,Reference,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m
loc_00447,Azilal formation intruded by Tanaghmelt sill,Louz et al.2022,32.01875277777778,-6.744566666666667,2201.3779619735706
loc_00448,Zaouit Tanaghmelt,Louz et al.2022,32.01884722222222,-6.736566666666667,1810.9976873981925
loc_00449,Basaltic flows of Ouzoud,Louz et al.2022,32.00188611111111,-6.746133333333334,972.3530336266026
loc_00450,Ouzoud springs,Louz et al.2022,31.9898,-6.71375,1841.1123439281585
loc_00451,Radiating dykes Taghia-n-Ait Boulmane,Louz et al.2022a,32.20174444444445,-6.117430555555555,3261.6485102626307
loc_00452,Travertines of Tighalghalt,Louz et al.2022a,32.24314444444445,-6.2370833333333335,1569.1220449224
loc_00453,The community granaries of Taghia-n-Ait Boulmane,Louz et al.2022a,32.18385277777777,-6.095055555555556,6002.977899964528
loc_00484,"Red layers, layers of gypsum, interstratified basalt flow B2",Rais et al.2021,32.13644722222222,-6.303011111111111,8.35600400941656
loc_00485,Houses and the granaries cover the sum mits of the red brick hills surrounding the lake,Rais et al.2021,32.13279722222222,-6.330252777777778,103.17073987406172
loc_00486,Silty and sandstone strata tracks of footprints of theropod and sauropod dinosaurs,Rais et al.2021,32.112341666666666,-6.340222222222222,223.11088967538555
loc_00487,Cross-stratification and current ripples) of Guettioua and Jbel Sidal Fms,Rais et al.2021,32.083733333333335,-6.307263888888889,483.3796481034621
loc_00488,Troglodyte construction of the Ait Aloui and Ait Izza douars,Rais et al.2021,32.08524444444445,-6.443269444444445,2293.8544240586875
loc_00489,Spring of Ain El Ghazi,Ait Barka et al.2022,32.32443055555556,-6.316886111111111,839.1015291470054
loc_00490,Canyon of Hansala,Ait Barka et al.2022,32.37435833333333,-6.143083333333334,7635.558792740881
loc_00491,Timskar Waterfalls,Louz et al.2024,32.28123611111111,-6.265222222222223,1199.2845037676946
loc_00492,Tazerkount ruiniformes landscapes,Louz et al.2024,32.190777777777775,-6.517761111111111,268.0313810088025
loc_00493,Ruiniformes Landscapes of Oribaa,Ait Barka et al.2022,32.30911666666666,-6.353455555555556,1947.2285246532488
loc_00494,Caves of Orbiaa,Louz et al.2024,32.306713888888886,-6.336480555555555,966.646819408078
loc_00495,Caves of Ain El ghazi,Ait Barka et al.2022,32.33271388888889,-6.310772222222222,1528.026809112309
loc_00496,Ain Orbiaa,Louz et al.2024,32.30702222222222,-6.350052777777777,2039.2651571168176
loc_00497,Ruiniformes Landscapes of Tassemit,Ait Barka et al.2022,32.29003055555555,-6.271786111111111,1828.2215271437703
loc_00498,Travertines of El Ksiba,Louz et al.2024,32.56476388888888,-6.017641666666667,128.93540537664427
loc_00499,Panoramic view of rurate,Louz et al.2024,32.18103055555555,-6.519197222222222,15.374456968640088
loc_00500,Spring of Tamoudjout,Ait Barka et al.2022,32.49888055555556,-6.146663888888889,596.4245091943045
loc_00501,Spring of Ouchrah,Ait Barka et al.2022,32.429205555555555,-6.170663888888889,1514.2368081001782
loc_00502,Panoramic view of   Beni Mellal city,Ait Barka et al.2022,32.32462777777778,-6.337727777777777,62.24263006766589
loc_00503,Caves of the cliffs of Timoulilte,Ait Barka et al.2022,32.20083611111112,-6.4307138888888895,697.7691464886241
loc_00504,Cave of the cliffs of Tanougha,Ait Barka et al.2022,32.49078888888889,-6.135119444444445,1656.2757074460137
loc_00505,Cave of Foum El Ancer,Ait Barka et al.2022,32.370697222222226,-6.248286111111111,1378.0541449885343
loc_00704,Izourhar lake,"ElKaichi et al., 2024",31.70484722222222,-6.260811111111111,5106.453935323282
loc_00705,Ibakliwn 1,"ElKaichi et al., 2024",31.663308333333333,-6.36565,818.794871059076
loc_00706,Ibakilwn 2,"ElKaichi et al., 2024",31.659866666666662,-6.387611111111111,45.45935859831165
loc_00707,Oued Rbat,"ElKaichi et al., 2024",31.65869722222222,-6.409952777777778,207.6724372186545
loc_00708,Tabant,"ElKaichi et al., 2024",31.65948611111111,-6.425027777777778,81.21590444777652
loc_00709,Grenier Sidi Moussa,"ElKaichi et al., 2024",31.65757777777777,-6.432652777777778,191.29812881675903
loc_00710,Site Sidi Moussa,"ElKaichi et al., 2024",31.65786111111111,-6.436194444444444,22.39101199944271
loc_00711,Aguered N'Ouzrou,"ElKaichi et al., 2024",31.653125,-6.438833333333333,492.6936811396738
loc_00712,Ait Bouguemez,"ElKaichi et al., 2024",31.647419444444445,-6.451566666666666,609.6193723796487
loc_00726,Imi-n-Ifri natural bridge,"Kchikach et al., 2024",31.73014444444444,-6.969363888888889,612.5446733102569
loc_00727,"Dinosaur footprints, Iwariden","Kchikach et al., 2024",31.726241666666667,-6.867927777777778,190.7933740708241
loc_00728,Jbel Rat ascension,"Kchikach et al., 2024",31.572263888888887,-6.635019444444444,4332.905883529068
loc_00729,Jbel M'Goun ascension,"Kchikach et al., 2024",31.63596111111111,-6.529952777777778,46.781952900313634
loc_00730,Ait Bouguemez valley trek,"Kchikach et al., 2024",31.65081111111111,-6.461511111111111,79.82012244937184
loc_00731,"Dinosaur footprints, Ibakaliwine","Kchikach et al., 2024",31.6842,-6.371152777777778,494.7922263065107
loc_00732,Hiking lake Izoughar,"Kchikach et al., 2024",31.736925,-6.314761111111111,949.567858403306
loc_00733,Jbel Azourki ascension,"Kchikach et al., 2024",31.79435833333333,-6.1931,1102.8685665506812
loc_00734,Taghia sources,"Kchikach et al., 2024",31.821613888888887,-6.089266666666666,2621.388748572476
loc_00735,Cliffs of Ait Abdi Plateau,"Kchikach et al., 2024",31.94306388888889,-6.076766666666667,545.3300166901108
loc_00736,Hiking around Imsfran Cathedral,"Kchikach et al., 2024",31.98318055555556,-6.121394444444444,369.37472326988745
loc_00737,Panoramic view of the Bin El Ouidane dam,"Kchikach et al., 2024",32.102986111111115,-6.296983333333333,1694.6721849549774
loc_00738,Panoramic view of the Tadla plain,"Kchikach et al., 2024",32.18390833333333,-6.5110166666666665,277.4583641052375
loc_00780,Kerrouchène,"Baadi et al., 2023",32.812261111111106,-5.319172222222222,1503.047526147938
loc_00781,Aghbaloun Assounane,"Baadi, 2023d",32.91218611111111,-5.335925,506.37012822904165
loc_00782,Aguelmam Admar Izam,"Baadi, 2023d",33.10306388888889,-5.394455555555556,1042.935270023055
loc_00783,Aguelmam Almis Guigou,"Baadi, 2023d",32.97318333333334,-5.443508333333334,2818.741149249631
loc_00784,Aguelmam Dial Tachnkourt,"Baadi, 2023d",33.145561111111114,-5.386361111111111,3181.7702664366984
loc_00785,Aguelmam Miammi,"Baadi, 2023d",32.90421944444444,-5.373591666666666,1802.8492986739552
loc_00786,Aguelmam n’Harcha,"Baadi, 2023d",33.13122222222222,-5.351230555555556,174.00692865936054
loc_00787,Aguelmam Ou Houli,"Baadi, 2023d",33.129616666666664,-5.359891666666666,213.7882602615589
loc_00788,Aguelmam Sidi Abderahman Ou Said,"Baadi, 2023d",33.085411111111114,-5.400916666666667,652.3334499599998
loc_00789,Lac Ajdir,"Baadi, 2023d",32.96297222222223,-5.434805555555556,2155.482213661136
loc_00790,Oum Er-Rbiaa,"Baadi, 2023d",33.05158888888889,-5.412147222222223,387.4956515179565
loc_00791,Taguelmant Yéj,"Baadi, 2023d",32.97243888888889,-5.569052777777777,3576.5100594990254
loc_00792,Tiguelmamines,"Baadi, 2023d",32.90577222222222,-5.343172222222222,818.123929530251
loc_00793,Aghbal,"Baadi, 2023e",33.044958333333334,-5.480861111111111,1594.709676517359
loc_00794,Aït Ou Hammou,"Baadi, 2023e",33.05758333333333,-5.379052777777777,324.4396370358244
loc_00795,Aferrane,"Baadi and Lebreton, 2023",33.026,-5.460927777777778,243.7178642252088
loc_00796,Ahoussal,"Baadi and Lebreton, 2023",32.964169444444444,-5.316977777777778,4695.988437505262
loc_00797,Ajdir,"Baadi and Lebreton, 2023",32.96297222222223,-5.434805555555556,2155.482213661136
loc_00798,Al Maarad,"Baadi and Lebreton, 2023",33.005766666666666,-5.501008333333333,823.9870390418736
loc_00799,Azegza,"Baadi and Lebreton, 2023",32.99203333333333,-5.471388888888889,972.2593802785484
loc_00800,Iferaoun,"Baadi and Lebreton, 2023",33.14539444444444,-5.383291666666667,2957.828961060005
loc_00801,Ifrennta,"Baadi and Lebreton, 2023",33.15681111111111,-5.365311111111111,2217.764582176804
loc_00802,Kssouatène,"Baadi and Lebreton, 2023",33.12797777777778,-5.385097222222223,1817.7550306816588
loc_00803,Mirssa,"Baadi and Lebreton, 2023",32.952450000000006,-5.291522222222223,4426.679742190143
loc_00804,Missartène,"Baadi and Lebreton, 2023",32.99635555555555,-5.447777777777778,2858.511326914456
loc_00805,Ouaousseguerna,"Baadi and Lebreton, 2023",33.156302777777775,-5.4298777777777785,4233.129954607365
loc_00806,Ouiouane,"Baadi and Lebreton, 2023",33.12708333333333,-5.345638888888889,254.2779637592052
loc_00807,Ounane,"Baadi and Lebreton, 2023",33.15134444444444,-5.408222222222222,5098.622367039528
loc_00808,Taboughout,"Baadi and Lebreton, 2023",32.944266666666664,-5.483897222222223,175.16953091705935
loc_00809,Taboughout Nord,"Baadi and Lebreton, 2023",32.95751388888889,-5.494613888888889,1090.0220191369697
loc_00810,Tigouyal,"Baadi and Lebreton, 2023",32.969319444444444,-5.374294444444444,2586.834357009768
loc_00811,Tizaraght,"Baadi and Lebreton, 2023",32.961666666666666,-5.471636111111112,92.52467382516168
loc_00812,Tizaraght Est,"Baadi and Lebreton, 2023",32.95620277777778,-5.456361111111112,1537.6719068664152
loc_00813,Tizerghine,"Baadi and Lebreton, 2023",32.96671944444444,-5.397927777777778,2252.0575332368307
loc_01194,Ouled Abdoun,"Noubhani, 2015 (In Errami et al., 2015)",32.76277777777778,-6.816944444444444,1938.7146976688543
