Locality_ID,Expert_Class,Geosite_Name,Confidence,Expert_Reasoning,Source
loc_00181,Easy,Sidi Abdel Hamid,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00203,Moderate,Jbel Tissouka,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00279,Easy,Cap Malabata,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00183,Easy,BabTazaPhtanites,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00178,Moderate,Talambote Thrusting,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00328,Moderate,Talambote bad lands,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00318,Moderate,Oued Laou Gorge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00192,Moderate,Raghdat Southern,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00171,Difficult,"Dune,beachand cliffs of Kaâ Asrascoast",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00276,Moderate,The flute casts of Punta Cires,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00198,Moderate,Jbel Tellouja karst,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00375,Easy,Fahs-Anjra (Melloussa),from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00200,Difficult,Pont de Dieu and Farda River,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00168,Moderate,Ibouharen Fold,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00191,Moderate,Kodiat Sbaâ,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00164,Moderate,Ali Thilat Dam,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00165,Moderate,Quarry of blocks,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00196,Difficult,Jbel Kelti,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00185,Difficult,Chrafate Spring,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00184,Moderate,Bouhala Landslice,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00201,Difficult,Oued ElKelaa Gorge and waterfall,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00194,Difficult,Jbel Lakraa,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00189,Difficult,Ametrasse rocks fall,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00188,Difficult,Jbel Chrafate,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00197,Difficult,Khzanat Spring,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00195,Difficult,Oued Tassikisste Gorge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00187,Difficult,Beni Derkoul Radiolarites,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00169,Difficult,Tirinesse Basin,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00170,Difficult,Koudiat Achacha,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00186,Difficult,Chrafate Alluvial Fan,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00199,Very Difficult,Raghdat Arimlal,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00263,Moderate,Rounded hills of nepheline syenite,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00264,Moderate,Magmatic lineation,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00265,Moderate,Dliyat N’sour migmatite with large basic blocks crosscut by granite veins,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00267,Moderate,Laglat mica-schists showing superimposed structures,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00266,Very Difficult,Awsard panorama,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00261,Moderate,Metabasite,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00262,Moderate,Metagabbro of the Adrar Souttouf massif,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00260,Moderate,Neolithic engravings on Lower Cretaceous sandstones,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00256,Moderate,Dewatering fold,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00257,Moderate,Neptunian dyke in the Izik deposits,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00258,Moderate,Shark tooth,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00259,Moderate,Miocene-Pliocene succession,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00251,Moderate,Typical coastal cliff of the Dakhla peninsula,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00252,Moderate,North border of the Dakhla lagoon north of the artesian well,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00253,Moderate,Sphinx Rock,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00254,Moderate,"Outcrops of Eocene for
mations beneath Miocene deposits",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00255,Moderate,Lower Eocene Izik Formation with chert nodules,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00155,Difficult,Khaoui Naàm Wadi,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00154,Easy,Tazgha salt Flats,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00150,Moderate,Naїla Lagoon,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00153,Moderate,Tinouchad daya,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00152,Difficult,Steady dunes,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00163,Easy,Asrir Oasis,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00160,Easy,Abaynou station,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00159,Moderate,Amtoudi waterfall and Bougaa source,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00158,Moderate,Amtoudi travertines,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00161,Easy,Pigeon cave,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00005,Moderate,Sauropod tracksite,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00077,Difficult,Arich OuzellaFm,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00065,Moderate,Souira Lgdima,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00275,Difficult,Phosphate de posit of Ganntour,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00066,Difficult,Sidi Tiji Gypsum quarry,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00067,Moderate,Jorf Lihoudi,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00058,Easy,Sidi Bouzid escarpment,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00069,Easy,Panoramic view of the cliff,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00059,Moderate,Chaâba valley,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00061,Easy,Sidi Abderrahmane dam,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00060,Moderate,Sidi Abderrahmane clayquarry,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00062,Moderate,Escarpment of Lalla Fatna,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00270,Moderate,Lalla Fatna escarpment,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00064,Difficult,El Goraan cave,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00273,Moderate,Sidi Moussa Lagoon,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00269,Difficult,Sidi Saïd Mâachou Basin,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00272,Moderate,ElKhénzira cave,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00271,Difficult,Jorf Lasfar escarpment,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00268,Moderate,Late Precambrian rhyolites of Sidi Daoui,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00215,Difficult,The El Karit mine: fillonien complex with the Tin and tungsten,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00216,Difficult,The El Karit mine: giant andalusite,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00213,Moderate,Variscan synoro genic Granite of Oulmes,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00214,Moderate,Oulmes Granite and metamorphism aureole contact,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00224,Moderate,Quaternary Basal tic flow of El Harcha,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00211,Moderate,Westphalian red conglomerates,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00210,Easy,Tournaisian reefal limestones Olistoliths of Tiddas,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00205,Moderate,Givetian reefal lime stones Stromatoporas,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00208,Moderate,Famenno-Tournai sian calcareous (Mid Devonian reef limestones) rocks falls of Tiliouine,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00207,Moderate,Givetian reefal lime stones Slump balls,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00206,Moderate,Givetian reefal lime stones Algal laminitis,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00223,Easy,Triassic-Miocene uncon of Maaziz,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00106,Moderate,Fam El Hisn water gap,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00105,Moderate,Icht water gap,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00131,Difficult,Tamanart canyon,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00133,Moderate,Addana Onion Peels,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00129,Moderate,Tadakoust gorge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00092,Moderate,Tadakoust Pyramids,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00095,Moderate,Tagmout mask,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00139,Moderate,Pyramids of Tadakoust,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00096,Easy,Alougoum Pyramid,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00097,Easy,Messalite cave,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00135,Moderate,"Badlands of Akka (glaciofluvial,
 fluviomarine, & stream alluviums)",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00103,Easy,Akka water gap,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00088,Moderate,Akka badlands,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00089,Moderate,Tata hearts,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00090,Moderate,Imitek Karsts,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00137,Moderate,Karsts of Imitek,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00102,Easy,Tata water gap,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00125,Moderate,Agouliz gorge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00126,Moderate,Aygou gorge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00117,Moderate,Agouliz inlier,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00138,Moderate,ssafen’s Flatiron,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00093,Moderate,Issafen chevrons,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00091,Moderate,Issafenflat-irons,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00132,Easy,Foum Zguid mesa,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00100,Easy,Tissint water gap,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00111,Moderate,Alougoum water gap,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00134,Easy,Foum Zguid stream,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00099,Easy,Foum Zguid water gap,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00123,Difficult,Aguinane gorge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00121,Moderate,Alougoum gorge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00353,Difficult,Accident of Izelfane,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00354,Difficult,Fossils of Ighzer Izelfane,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00366,Easy,Boulemane,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00355,Difficult,Diapir of Tittaouine,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00357,Difficult,Tittaouine Spring,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00367,Moderate,Guigou valley,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00374,Moderate,El Mers,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00369,Moderate,Taferdoust,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00361,Difficult,Sauropod footprints,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00371,Moderate,Anchrif,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00370,Moderate,Taghrout,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00372,Moderate,Skoura,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00072,Easy,Lake Ifrah (Dayet Ifrah),from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00362,Very Difficult,Jbel Bou Naceur,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00071,Easy,Lake Aoua (Dayet Aoua),from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00086,Moderate,Aïn Sebou,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00083,Difficult,Chaâra cave,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00081,Moderate,Ras El Oued cave,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00082,Difficult,Chaâra lapiaz,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00078,Moderate,Chiker polje,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00079,Moderate,Chiker cave,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00004,Difficult,Bleida granodiorite,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00003,Moderate,Oceanic Moho rocks,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00002,Moderate,Bou Offroh ophiolit,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00032,Moderate,Imider Tertiary strata,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00034,Moderate,Ait Youl Basalts,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00030,Moderate,Foum El Kouss Basalts,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00021,Easy,Tamlalet Monkey’s fingers structures,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00029,Moderate,Tinghir Paleozoic-Cretaceous unconformity,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00022,Moderate,Tissadrine Folds,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00020,Easy,Todgha Gorges,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00026,Moderate,"Tamtetoucht ""Red beds""",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00023,Moderate,"Msemrir ""Red Beds""",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00027,Difficult,Ait Hani Triassic salt cave,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00055,Moderate,Akhiam cave,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00050,Moderate,Late Jurassic theropod tracks,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00019,Difficult,"Ait Ali Ou-Ikkou ""Red beds""",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00048,Difficult,Msadrid ridge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00049,Difficult,Ait Ali Ou Ikkou's diapirsm,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00044,Difficult,Dolerite dykes and sills,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00051,Moderate,Vertebrate tracks in the Isli Formation,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00046,Moderate,Meandering Melloul river,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00054,Difficult,Tassent ridge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00053,Moderate,Traces of Crocodylopodus meijidei,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00017,Moderate,Lac Tislit,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00043,Moderate,Tisli Lake,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00042,Difficult,Isli Lake,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00016,Difficult,Tridactyl footpreints,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00015,Difficult,Rhizocorallium burrows,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00013,Difficult,Limestone-marls  seq.,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00012,Difficult,Th. Burrows,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00011,Difficult,Current ripples,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00010,Difficult,Bioclastic limestone,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00009,Difficult,Synsedimentary Fd,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00008,Difficult,Turbidite/tempesitie,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00007,Difficult,Fault mirror,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00006,Difficult,Tension joints & veins,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00014,Difficult,Horst-graben structures,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00073,Moderate,Lake Aguelmame Sidi Ali,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00304,Moderate,"Beautiful views of the lake, the outlet and the meanders of Ahansal river",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00307,Moderate,Coffee built on the massive limestone of BIII,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00306,Moderate,Continental Guettioua Fm on the marine Fm BIII with a gap in the Tilougite Fm,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00244,Moderate,Oued Ahençal river,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00305,Moderate,Panoramic view of the meanders,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00313,Moderate,"Limestone banks rich in fossils of gastropods, lamellibranch, brachio pods, ammonites, & places polypiers in the Ouaouizaght syncline",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00312,Moderate,"Oblique, cross-stratification, bioclasts of brachiopods & lamellibranchs on granary stone",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00311,Moderate,Well-distinguished fault making contact between the Fm m. BIII & the Guettioua Fm,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00310,Moderate,Deep gorges in Fm BIII limestones from the Assif Assemssil river,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00246,Easy,Panoramic view of badlands and cuesta,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00303,Easy,The spectacular land scapes overlooking the entire Bine El Ouidane dam are panoramic,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00056,Difficult,The cliff granaries of Aoujgal,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00294,Moderate,Footprints of Theropod & Sauropod dinosaurs ( Saurischia dinosaurs) in silt beds of Bathonian-age (165 Ma),from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00293,Easy,Passage of the marine carbonate deposits from FmBIII to the red layers (Middle and Upper Jurassic regression),from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00295,Easy,YellowishTilouguite Fm of Upper Bajocian-Lower Bathonian age,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00292,Easy,"Black limestone beds of Fm BII with large ammonites  lamellibranchs, gasteropods, and polypiers",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00241,Easy,Dinosaur footprints,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00290,Easy,"Large lamellibranchs, gasteropods, and polypiers  (marl-limestones of Fm BII)",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00289,Easy,"Overfold affecting the marl-limestones of Fm
 BII",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00288,Easy,"Rhynchonella-type brachiopods and big gasteropds ( marl-limestones of Fm
 BII)",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00243,Easy,Assif Assemssil Bridge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00309,Easy,Cavities and caves  on the left bank of the Assif Assemsil,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00308,Easy,"Hotels, chalets and guest houses, coffee shop, and restaurants",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00286,Easy,Bine El Ouidane dam anchored in massive oncolithic limestones of the Fm BI,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00287,Easy,"Panoramic view on the Tadla plain and the Afourer
 pumped storage power station (PSPS)",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00240,Easy,"Watercourse, river, lake, dam",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00242,Moderate,Panoramic view of the Ouaouizaght Syncline,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00297,Moderate,Panoramic view of the Ouaouizaght syncline (Cretaceous formation),from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00299,Moderate,Euphorbia resinifiera (in Arabic Zakoum) couvering  the Iouardene Fm,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00298,Moderate,Gypsum of the Iouaridene Fm of Lower Barremian (sabkha environment),from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00245,Moderate,Oued el Abid Bridge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00300,Moderate,The basaltic flow B2  (The Major effusive Upper Barremian event),from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00301,Moderate,Mio-Pliocene alluvial terraces,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00302,Moderate,The acted conglomerates deposited by the ancient Oued El Abid River,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00237,Moderate,Fault-fold associated with the magmatic intrusion of Ait Boulmane,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00225,Easy,Gabroic Intrusion of Idemrane,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00232,Moderate,Dinosaur footprints of Ait wissadane,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00239,Moderate,Folded structures Taghia-n-Ait Boulmane,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00235,Moderate,Gabbroic intrusion of Taghia-n-Ait Boulmane,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00234,Moderate,Karstic landscapes Taghia-n-Ait Boulmane,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00238,Moderate,Taghia-n-Ait Boulmane gorges,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00226,Easy,Sills of Idemrane,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00285,Moderate,"Canyon Moudj, Foum El Ancer",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00248,Moderate,Moudj Canyon,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00284,Difficult,"Jbel Taçmit, Foum El Ancer",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00280,Easy,"Ain Asserdoune,  Béni Mellal city",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00247,Easy,Ain Asserdoune-Tamgnounte,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00314,Moderate,Spring of Ain Asserdoune,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00283,Moderate,"Sources d’Ouchrah, Tagzirte",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00249,Easy,Taghbaloute- n- Ouhlima,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00281,Easy,"Taghbaloute-n- Ouhlima, El Ksiba city",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00282,Easy,"Ain Tamda,  Zaouit Cheikh city",from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00076,Moderate,Famennian Zebra griottes limestones of Ziyar,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00075,Moderate,Famennian Griottes limestones of Bou Ounabdou,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00074,Moderate,Frasnian-Famennian Kellwasser black limestones of Bou Ounabdou,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00233,Moderate,Basaltic flow B1,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
